Start Time,Stop Time,Initial Speaker,From,To,Protocol,Duration,Packets,State,Comments,
9876.914923,9940.839761,10.200.110.100,"""bot50","<sip:bot50@10.200.110.100>""",<sip:bot58@10.200.110.111>,SIP,12:01:03 AM,10,COMPLETED,INVITE 401 200
9876.920544,9940.85618,10.200.110.111,"""bot50","<sip:bot50@10.200.110.111>""",<sip:bot58@10.200.110.100:8558>,SIP,12:01:03 AM,7,COMPLETED,INVITE 200
10117.113841,10179.47175,10.200.110.100,"""bot53","<sip:bot53@10.200.110.100>""",<sip:bot54@10.200.110.111>,SIP,12:01:02 AM,10,COMPLETED,INVITE 401 200
10117.305794,10179.48994,10.200.110.111,"""bot53","<sip:bot53@10.200.110.111>""",<sip:bot54@10.200.110.100:8554>,SIP,12:01:02 AM,7,COMPLETED,INVITE 200
10177.033611,10177.043271,10.200.110.100,"""bot51","<sip:bot51@10.200.110.100>""",<sip:bot63@10.200.110.111>,SIP,12:00:00 AM,3,REJECTED,INVITE 401
10237.096494,10266.240473,10.200.110.100,"""bot58","<sip:bot58@10.200.110.100>""",<sip:bot56@10.200.110.111>,SIP,12:00:29 AM,10,COMPLETED,INVITE 401 200
10237.102098,10266.257857,10.200.110.111,"""bot58","<sip:bot58@10.200.110.111>""",<sip:bot56@10.200.110.100:8556>,SIP,12:00:29 AM,7,COMPLETED,INVITE 200
10357.07846,10415.109603,10.200.110.100,"""bot54","<sip:bot54@10.200.110.100>""",<sip:bot53@10.200.110.111>,SIP,12:00:58 AM,10,COMPLETED,INVITE 401 200
10357.089437,10415.117104,10.200.110.111,"""bot54","<sip:bot54@10.200.110.111>""",<sip:bot53@10.200.110.100:8553>,SIP,12:00:58 AM,7,COMPLETED,INVITE 200
10416.912015,10465.098939,10.200.110.100,"""bot59","<sip:bot59@10.200.110.100>""",<sip:bot60@10.200.110.111>,SIP,12:00:48 AM,10,COMPLETED,INVITE 401 200
10416.923039,10465.116774,10.200.110.111,"""bot59","<sip:bot59@10.200.110.111>""",<sip:bot60@10.200.110.100:8560>,SIP,12:00:48 AM,7,COMPLETED,INVITE 200
10597.041637,10597.054228,10.200.110.100,"""bot51","<sip:bot51@10.200.110.100>""",<sip:bot61@10.200.110.111>,SIP,12:00:00 AM,7,REJECTED,INVITE 401 480
10597.064688,10622.167357,10.200.110.100,"""bot57","<sip:bot57@10.200.110.100>""",<sip:bot56@10.200.110.111>,SIP,12:00:25 AM,10,COMPLETED,INVITE 401 200
10597.152386,10622.185351,10.200.110.111,"""bot57","<sip:bot57@10.200.110.111>""",<sip:bot56@10.200.110.100:8556>,SIP,12:00:25 AM,7,COMPLETED,INVITE 200
10657.05281,10683.98537,10.200.110.100,"""bot56","<sip:bot56@10.200.110.100>""",<sip:bot51@10.200.110.111>,SIP,12:00:26 AM,10,COMPLETED,INVITE 401 200
